instance_id,seed,p,stage,noise_scale,status,task_id,shots,low_energy_probability,improving_probability,found_improvement,best_improvement,distribution_entropy,unique_states
seed026_pair2_B1_w8,26,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.3830247157133877,0.03183932483455505,True,1.3553087310184537,7.296580157307115,224
seed026_pair2_B1_w8,26,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.31462066945510464,0.0347723969975233,True,1.3553087310184537,7.548843212562769,234
seed026_pair2_B1_w8,26,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.3474542780544846,0.03348001292024727,True,1.1810480406772115,7.434668717427177,229
seed026_pair2_B1_w8,26,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.3648880073469221,0.03270376242132636,True,1.3553087310184537,7.369024624792615,225
seed026_pair2_B1_w8,26,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.3830247157133877,0.03183932483455505,True,1.3553087310184537,7.296580157307115,224
seed026_pair2_B1_w8,26,2,Baihua 真机,observed,COMPLETED,2608021834000044261,1024,0.23046875,0.0302734375,True,1.3553087310184537,7.258956286252131,209
seed027_pair1_B1_w8,27,1,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.34863329636098583,0.036357813365256834,True,2.66549414155196,7.338733383737429,213
seed027_pair1_B1_w8,27,1,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.10004314664702205,0.09008401680939256,True,1.4545623668768712,7.9827976423709055,250
seed027_pair1_B1_w8,27,1,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.1016768323871473,0.08917767004516006,True,1.4545623668768712,7.990845961873391,250
seed027_pair1_B1_w8,27,1,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.10093189815838534,0.08961737073685276,True,1.4545623668768712,7.987310337744179,251
seed027_pair1_B1_w8,27,1,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.10050574227538053,0.08984726412601261,True,1.4545623668768712,7.985186761827192,250
seed027_pair1_B1_w8,27,1,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.10004314664702205,0.09008401680939256,True,1.4545623668768712,7.9827976423709055,250
seed027_pair1_B1_w8,27,1,Baihua 真机,observed,COMPLETED,2608021834090328650,1024,0.119140625,0.0771484375,True,2.66549414155196,7.709421593209446,245
seed027_pair1_B1_w8,27,2,完整 QUBO 理想模拟,ideal,SIMULATED,,1024,0.4266625819355553,0.030794346572890555,True,2.66549414155196,6.556942801989663,157
seed027_pair1_B1_w8,27,2,硬件兼容理想模拟,ideal,SIMULATED,,1024,0.08140725314085923,0.08228288584215174,True,0.9276975141900152,7.977162604928957,251
seed027_pair1_B1_w8,27,2,带噪声模拟：当前噪声,current,SIMULATED,,1024,0.08580280630121652,0.08292668525826982,True,0.8980597358200839,7.987383814434157,252
seed027_pair1_B1_w8,27,2,带噪声模拟：50% 噪声,50pct,SIMULATED,,1024,0.08366214159442967,0.08261245468192707,True,1.4545623668768712,7.9828585040667175,251
seed027_pair1_B1_w8,27,2,带噪声模拟：25% 噪声,25pct,SIMULATED,,1024,0.08254903676362996,0.08244976289075778,True,0.6499924172354099,7.980168894793144,249
seed027_pair1_B1_w8,27,2,噪声缩放：理想无噪声,zero,SIMULATED,,1024,0.08140725314085923,0.08228288584215174,True,0.9276975141900152,7.977162604928957,251
seed027_pair1_B1_w8,27,2,Baihua 真机,observed,COMPLETED,2608021834198227849,1024,0.076171875,0.0830078125,True,0.9158795693927004,7.680028406487008,245
