instance_id,seed,num_customers,num_vehicles,vehicle_capacity,vehicle_pair,pair_rank,block_id,block_size,state_count,baseline_distance,exact_best_distance,best_improvement,has_improvement,improving_state_count,improving_state_ratio,single_bit_local_trap,minimum_required_flips,feasible_state_ratio,capacity_repair_ratio,spearman_qubo_true_distance,true_optimum_qubo_rank,current_bitstring,qubo_best_bitstring,true_best_bitstring
seed006_pair2_B2_w8,6,50,5,38,2-3,2,B2,8,256,136.1125830881553,133.39203412616945,2.7205489619858554,True,17,0.06640625,False,1,0.02734375,0.97265625,0.5787939618401647,64,10000100,10000100,00011000
seed006_pair2_B3_w8,6,50,5,38,2-3,2,B3,8,256,136.1125830881553,136.1125830881553,0.0,False,0,0.0,False,0,0.03515625,0.96484375,0.450347174419824,1,00001001,00001001,00001001
seed007_pair1_B1_w6,7,30,3,39,0-2,1,B1,6,64,97.07690039479087,88.17511554869098,8.901784846099886,True,40,0.625,False,1,0.78125,0.21875,0.11342483980873468,16,110000,100101,100000
seed007_pair1_B2_w6,7,30,3,39,0-2,1,B2,6,64,97.07690039479087,96.0215886631948,1.0553117315960634,True,2,0.03125,False,1,0.484375,0.515625,0.2533715898678477,9,000010,000010,000011
seed007_pair1_B3_w6,7,30,3,39,0-2,1,B3,6,64,97.07690039479087,96.0215886631948,1.0553117315960634,True,3,0.046875,False,1,0.359375,0.640625,-0.1272494954201539,59,111001,101001,111011
seed007_pair2_B1_w6,7,30,3,39,0-1,2,B1,6,64,97.07690039479087,95.11983410146411,1.9570662933267613,True,3,0.046875,True,2,0.078125,0.921875,0.28694089455794686,7,001000,001000,000100
seed007_pair2_B2_w6,7,30,3,39,0-1,2,B2,6,64,97.07690039479087,97.07690039479087,0.0,False,0,0.0,False,0,0.15625,0.84375,0.2303023603981011,15,110001,010001,110001
seed007_pair2_B3_w6,7,30,3,39,0-1,2,B3,6,64,97.07690039479087,96.50212672745832,0.5747736673325505,True,4,0.0625,True,3,0.015625,0.984375,0.02030318183818858,17,111111,101001,010000
seed007_pair1_B1_w8,7,30,3,39,0-2,1,B1,8,256,97.07690039479087,88.17511554869098,8.901784846099886,True,95,0.37109375,False,1,0.58984375,0.41015625,-0.22014213170996152,240,11110000,10100101,11100000
seed007_pair1_B2_w8,7,30,3,39,0-2,1,B2,8,256,97.07690039479087,96.0215886631948,1.0553117315960634,True,3,0.01171875,False,1,0.64453125,0.35546875,-0.21462364737926776,225,10000011,10000101,10000111
seed007_pair1_B3_w8,7,30,3,39,0-2,1,B3,8,256,97.07690039479087,92.71500234952921,4.361898045261654,True,72,0.28125,False,1,0.37109375,0.62890625,-0.40245468637067605,225,00011111,10101010,11100111
seed007_pair2_B1_w8,7,30,3,39,0-1,2,B1,8,256,97.07690039479087,95.11983410146411,1.9570662933267613,True,7,0.02734375,True,2,0.17578125,0.82421875,0.3817418689915975,78,11001000,10001000,11000100
seed007_pair2_B2_w8,7,30,3,39,0-1,2,B2,8,256,97.07690039479087,96.18828947800984,0.8886109167810332,True,1,0.00390625,True,2,0.2734375,0.7265625,0.3360476769705661,18,01110100,01010100,01010110
seed007_pair2_B3_w8,7,30,3,39,0-1,2,B3,8,256,97.07690039479087,95.11983410146411,1.9570662933267613,True,2,0.0078125,True,2,0.01171875,0.98828125,0.1079219327742449,6,01000000,01000000,00010000
seed008_pair1_B1_w6,8,40,4,31,0-3,1,B1,6,64,100.01128333036147,100.01128333036147,0.0,False,0,0.0,False,0,0.0625,0.9375,0.10943223443223442,1,000000,000000,000000
